"first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","reference","tags","anonymous","reporter"
"2024-09-08 20:03:48", "1322480", "ab6a1838bc0306ff528bdbc6c4b00631", "md5_hash", "payload", "win.agent_tesla", "AgenTesla,AgentTesla,Negasteal", "Agent Tesla", "", "95", "None", "None", "0", "Grim"
"2024-09-08 20:03:45", "1322477", "0cc14e028f4620a52548078b0545d391", "md5_hash", "payload", "win.mars_stealer", "None", "Mars Stealer", "", "95", "None", "None", "0", "Grim"
"2024-09-08 20:03:42", "1322474", "447ed67f7cae2a69425aa148f753f544", "md5_hash", "payload", "win.masslogger", "None", "MASS Logger", "", "95", "None", "None", "0", "Grim"
"2024-09-08 20:03:39", "1322471", "8f391db2fc8b0c6be72425cd5e8f8369", "md5_hash", "payload", "win.azorult", "PuffStealer,Rultazo", "Azorult", "", "95", "None", "None", "0", "Grim"
"2024-09-08 20:03:36", "1322468", "ee99bcceb7e05794df7fb40ea5fecde5", "md5_hash", "payload", "win.mars_stealer", "None", "Mars Stealer", "", "95", "None", "None", "0", "Grim"
"2024-09-08 20:03:33", "1322465", "638cb74303c3becc203afc4d596f819a", "md5_hash", "payload", "win.remcos", "RemcosRAT,Remvio,Socmer", "Remcos", "", "95", "None", "None", "0", "Grim"
"2024-09-08 20:03:30", "1322462", "b89ba7dd8d61cedbacaa00aabef600b7", "md5_hash", "payload", "win.remcos", "RemcosRAT,Remvio,Socmer", "Remcos", "", "95", "None", "None", "0", "Grim"
"2024-09-08 20:03:26", "1322460", "8aa4ee38b9ab7ecb03ee7f86ed3afc12", "md5_hash", "payload", "win.dcrat", "DarkCrystal RAT", "DCRat", "", "95", "None", "None", "0", "Grim"
"2024-09-08 20:03:23", "1322457", "5b12d924bbff71c9c9d97707f89227b3", "md5_hash", "payload", "win.mars_stealer", "None", "Mars Stealer", "", "95", "None", "None", "0", "Grim"
"2024-09-08 20:03:19", "1322454", "c8fa2ea3d6f030e4fb3a771cfee184c7", "md5_hash", "payload", "win.dcrat", "DarkCrystal RAT", "DCRat", "", "95", "None", "None", "0", "Grim"
"2024-09-08 20:03:16", "1322451", "55a2312d6062e5bac6c5f62a0ee42fa2", "md5_hash", "payload", "win.dcrat", "DarkCrystal RAT", "DCRat", "", "95", "None", "None", "0", "Grim"
